SEISAN data: Full	 EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2003 08 22 03 49 38.10	654315 6282930	 15.0	1.20
EIK3D: 		2003 08 22 03 49 38.87	659500 6272000	 5.5	3.31

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	Pn	  0.030		 -0.886		 24.070		 22.381
MUD	S	  1.020		 -1.761		 41.810		 38.256
COP	P	  1.820		  2.267		 23.160		 22.834
COP	S	  1.670		  3.045		 37.140		 37.742
BSD	PN	 -1.140		 -1.634		 37.650		 36.383
BSD	S	 -1.590		 -1.839		 65.930		 64.908
HFS	Pn	  0.640		 -2.300		 57.790		 54.077
HFS	Sn	  2.790		 -1.695		103.370		 98.112
KONO	P	 -0.260		 -3.543		 49.030		 44.974
KONO	Sg	 -1.240		  8.031		 97.630		106.128

