SEISAN data: Full	 EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 02 03 15 49 47.10	637295 6232437	 0.0	1.30
EIK3D: 		2005 02 03 15 49 49.54	660500 6241000	 0.0	1.91

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  5.580		 -0.214		 32.480		 24.245
MUD	S	 10.370		  2.114		 57.610		 46.912
COP	P	  0.210		 -0.314		 16.340		 13.374
COP	S	  0.850		  1.712		 29.230		 27.650
BSD	P	 -2.380		 -2.681		 35.500		 32.758
BSD	S	 -0.760		  0.499		 68.130		 66.947
HFS	Pn	  0.270		 -0.354		 65.350		 62.284
HFS	Sn	  1.770		  2.466		115.650		113.904
SNART	P	  0.210		 -3.414		 50.150		 44.084

