SEISAN data: Full	 EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2004 02 23 08 38 26.00	701017 6156820	 36.3	0.90
EIK3D: 		2004 02 23 08 38 27.42	704000 6158500	 38.5	0.24

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  0.630		 -0.972		 31.910		 28.886
MUD	S	  0.480		 -1.244		 53.990		 50.844
COP	P	  0.430		 -0.595		  8.130		  5.684
COP	SG	 -0.690		 -1.425		 11.200		  9.043
BSD	P	 -0.170		 -1.327		 25.750		 23.171
BSD	S	 -0.020		 -0.973		 45.100		 42.726
KONO	S	  0.680		 -1.007		112.210		109.102
SNART	S	  0.580		 -1.057		101.750		 98.691

