SEISAN data: Full	 EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 04 08 16 11 32.50	618354 6337229	 0.0	1.40
EIK3D: 		2005 04 08 16 11 35.84	618000 6326500	 30.5	1.07

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  1.360		 -0.261		 24.880		 19.919
MUD	S	  1.730		  1.342		 41.780		 38.052
COP	P	  1.160		  1.412		 32.720		 29.633
COP	S	 -2.740		  0.097		 47.080		 46.578
BSD	P	 -1.630		 -1.168		 46.040		 43.163
BSD	S	 -4.030		 -0.812		 77.210		 77.088
HFS	Pn	  1.790		  0.208		 56.830		 51.909
HFS	Sn	  1.240		  0.913		 94.570		 90.904
KONO	P	  0.050		 -1.549		 43.500		 38.562
KONO	S	  1.500		  1.145		 78.050		 74.355
SNART	S	 -2.350		 -1.428		 64.220		 61.803

