SEISAN data: Full	 EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2010 02 19 21 08 59.30	410078 6306223	 22.0	0.90
EIK3D: 		2010 02 19 21 09 02.05	426500 6307000	 60.0	0.75

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  1.630		  0.297		 21.090		 17.007
MUD	S	  0.990		  0.719		 32.860		 29.839
COP	P	 -0.710		 -0.197		 45.180		 42.943
BSD	P	 -0.820		 -0.275		 66.020		 63.815
HFS	Pn	 -0.500		 -0.311		 67.690		 65.130
HFS	Sn	 -2.820		 -0.452		113.220		112.838
KONO	P	 -0.340		 -0.849		 45.710		 42.451
KONO	S	 -0.560		  0.592		 79.160		 77.563
SNART	P	  0.390		 -1.070		 26.430		 22.220
SNART	S	  2.030		  1.546		 48.470		 45.237

