SEISAN data: Reduced EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 04 08 16 11 35.80	618045 6326862	 30.6	0.60
EIK3D: 		2005 04 08 16 11 34.67	621500 6326000	 9.5	1.06

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	 -0.280		  0.003		 19.940		 21.357
MUD	S	  1.280		  0.941		 38.030		 38.825
COP	P	  1.400		  1.805		 29.660		 31.199
COP	S	  0.040		 -0.066		 46.560		 47.589
BSD	P	 -1.150		 -0.873		 43.220		 44.631
BSD	S	 -0.820		 -1.158		 77.120		 77.916
HFS	P	  0.270		  0.277		 52.010		 53.152
HFS	S	  0.990		  0.183		 91.020		 91.347
KONO	P	 -1.500		 -0.875		 38.650		 40.409
KONO	S	  1.200		  1.449		 74.450		 75.833
SNART	S	 -1.420		 -1.737		 61.850		 62.667

