SEISAN data: Reduced EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2004 02 23 08 38 26.70	706781 6164668	 39.8	0.30
EIK3D: 		2004 02 23 08 38 27.73	707500 6165500	 36.0	0.83

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	 -0.120		 -0.758		 30.460		 28.796
MUD	S	 -0.330		 -0.652		 52.480		 51.132
COP	P	  0.410		 -0.173		  7.410		  5.801
COP	SG	 -0.230		 -0.466		 10.960		  9.698
BSD	P	 -0.300		 -0.515		 24.920		 23.679
BSD	S	  0.240		  0.645		 44.660		 44.039
HFS	P	 -0.030		 -0.904		 67.650		 65.750
HFS	S	 -0.790		 -1.511		115.590		113.842
KONO	S	  0.860		  1.545		111.690		111.349
SNART	S	  0.290		  0.304		100.760		 99.748

