SEISAN data: Reduced EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 02 03 15 49 49.50	659892 6240687	 0.0	1.00
EIK3D: 		2005 02 03 15 49 49.27	656000 6234500	 0.0	1.46

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	 -0.090		 -0.312		 24.410		 24.414
MUD	S	  2.290		  1.750		 47.130		 46.815
COP	P	 -0.280		 -0.883		 13.450		 13.073
COP	S	  1.730		  0.533		 27.710		 26.739
BSD	P	 -2.690		 -1.931		 32.790		 33.775
BSD	S	  0.440		  1.600		 66.930		 68.315
HFS	Pn	 -0.380		 -0.861		 62.300		 62.044
HFS	Sn	  2.370		  1.396		113.850		113.102
SNART	P	 -3.370		 -2.487		 44.170		 45.278

