SEISAN data: Reduced EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2003 08 22 03 49 38.30	657654 6280603	 11.8	0.70
EIK3D: 		2003 08 22 03 49 39.55	654500 6276500	 18.0	0.86

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	Pn	 -0.900		  0.030		 22.940		 22.620
MUD	S	 -0.320		  0.318		 40.270		 39.658
COP	P	  1.960		  0.785		 23.100		 20.675
COP	S	  2.090		  0.967		 37.360		 34.987
BSD	PN	 -1.200		 -1.188		 37.390		 36.152
BSD	S	 -1.510		 -0.575		 65.810		 65.494
HFS	Pn	 -0.100		 -0.779		 56.850		 54.921
HFS	Sn	  1.680		  1.428		102.060		100.558
KONO	P	 -1.260		 -0.814		 47.830		 47.026

