SEISAN data: Reduced EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2010 02 19 21 09 01.70	420764 6304113	 60.1	0.40
EIK3D: 		2010 02 19 21 09 01.02	445500 6323500	 0.0	0.60

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  0.180		  0.342		 17.240		 18.087
MUD	S	  0.280		  0.050		 29.750		 30.205
COP	P	 -0.400		 -1.190		 43.090		 42.985
BSD	P	  0.160		 -1.048		 64.600		 64.077
HFS	P	 -0.040		 -0.088		 65.750		 66.386
HFS	S	 -0.230		 -0.819		113.410		113.505
KONO	P	 -1.140		 -0.621		 42.510		 43.714
KONO	S	 -0.150		  0.235		 77.170		 78.239
SNART	P	 -1.000		 -1.269		 22.640		 23.055
SNART	S	  1.200		  0.217		 45.010		 44.711

