SEISAN data: Full	 EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 04 08 16 11 32.50	618354 6337229	 0.0	1.40
EIK3D: 		2005 04 08 16 11 34.67	621500 6326000	 9.5	1.06

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  1.360		  0.003		 24.880		 21.357
MUD	S	  1.730		  0.941		 41.780		 38.825
COP	P	  1.160		  1.805		 32.720		 31.199
COP	S	 -2.740		 -0.066		 47.080		 47.589
BSD	P	 -1.630		 -0.873		 46.040		 44.631
BSD	S	 -4.030		 -1.158		 77.210		 77.916
HFS	Pn	  1.790		  0.277		 56.830		 53.152
HFS	Sn	  1.240		  0.183		 94.570		 91.347
KONO	P	  0.050		 -0.875		 43.500		 40.409
KONO	S	  1.500		  1.449		 78.050		 75.833
SNART	S	 -2.350		 -1.737		 64.220		 62.667

