SEISAN data: Full	 EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 02 03 15 49 47.10	637295 6232437	 0.0	1.30
EIK3D: 		2005 02 03 15 49 49.27	656000 6234500	 0.0	1.46

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  5.580		 -0.312		 32.480		 24.414
MUD	S	 10.370		  1.750		 57.610		 46.815
COP	P	  0.210		 -0.883		 16.340		 13.073
COP	S	  0.850		  0.533		 29.230		 26.739
BSD	P	 -2.380		 -1.931		 35.500		 33.775
BSD	S	 -0.760		  1.600		 68.130		 68.315
HFS	Pn	  0.270		 -0.861		 65.350		 62.044
HFS	Sn	  1.770		  1.396		115.650		113.102
SNART	P	  0.210		 -2.487		 50.150		 45.278

