SEISAN data: Full	 EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2004 02 23 08 38 26.00	701017 6156820	 36.3	0.90
EIK3D: 		2004 02 23 08 38 27.50	700000 6153000	 27.0	0.21

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  0.630		 -0.660		 31.910		 29.121
MUD	S	  0.480		 -0.645		 53.990		 51.366
COP	P	  0.430		 -0.288		  8.130		  5.913
COP	SG	 -0.690		 -0.834		 11.200		  9.556
BSD	P	 -0.170		 -1.051		 25.750		 23.370
BSD	S	 -0.020		 -0.446		 45.100		 43.174
KONO	S	  0.680		 -0.654		112.210		109.376
SNART	S	  0.580		 -0.696		101.750		 98.975

