SEISAN data: Full	 EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2003 08 22 03 49 38.10	654315 6282930	 15.0	1.20
EIK3D: 		2003 08 22 03 49 40.98	656000 6264000	 19.0	3.62

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	Pn	  0.030		 -1.357		 24.070		 19.804
MUD	S	  1.020		 -1.048		 41.810		 36.863
COP	P	  1.820		  1.052		 23.160		 19.513
COP	S	  1.670		  2.477		 37.140		 35.067
BSD	PN	 -1.140		 -1.403		 37.650		 34.508
BSD	S	 -1.590		  0.092		 65.930		 64.732
HFS	Pn	  0.640		 -3.527		 57.790		 50.743
HFS	Sn	  2.790		 -2.290		103.370		 95.410
KONO	P	 -0.260		 -3.666		 49.030		 42.745
KONO	Sg	 -1.240		  9.367		 97.630		105.358

