SEISAN data: Reduced EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2008 12 16 05 20 03.10	785090 6155121	 37.7	0.40
EIK3D: 		2008 12 16 05 20 02.12	783500 6152500	 51.5	0.64

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  0.760		  1.985		 41.890		 44.092
COP	P	  0.440		  1.141		 13.600		 15.277
COP	S	  0.080		  0.589		 22.170		 23.655
BSD	P	  0.010		  0.924		 16.060		 17.951
BSD	S	  0.220		  1.094		 28.190		 30.041
HFS	Pn	 -0.520		  0.305		 67.770		 69.571
HFS	S	  0.820		  1.546		120.690		122.392
KONO	P	 -1.300		 -0.311		 66.350		 68.315
KONO	S	  0.260		  1.262		119.800		121.778
SNART	P	 -0.780		  0.358		 64.640		 66.755

