SEISAN data: Reduced EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2004 02 23 08 38 26.30	703958 6158850	 38.7	0.20
EIK3D: 		2004 02 23 08 38 27.42	704000 6158500	 38.5	0.24

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  0.110		 -0.972		 31.090		 28.886
MUD	S	 -0.170		 -1.244		 53.040		 50.844
COP	P	  0.490		 -0.595		  7.890		  5.684
COP	SG	 -0.340		 -1.425		 11.250		  9.043
BSD	P	 -0.250		 -1.327		 25.370		 23.171
BSD	S	  0.090		 -0.973		 44.910		 42.726
KONO	S	  0.070		 -1.007		111.300		109.102
SNART	S	  0.000		 -1.057		100.870		 98.691

