SEISAN data: Reduced EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2003 08 22 03 49 38.30	657654 6280603	 11.8	0.70
EIK3D: 		2003 08 22 03 49 39.96	652500 6275500	 32.5	0.99

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	Pn	 -0.900		  0.029		 22.940		 22.209
MUD	S	 -0.320		  0.604		 40.270		 39.534
COP	P	  1.960		  0.515		 23.100		 19.995
COP	S	  2.090		  0.805		 37.360		 34.414
BSD	PN	 -1.200		 -1.183		 37.390		 35.747
BSD	S	 -1.510		 -0.271		 65.810		 65.389
HFS	Pn	 -0.100		 -0.683		 56.850		 54.607
HFS	Sn	  1.680		  1.888		102.060		100.608
KONO	P	 -1.260		 -1.426		 47.830		 46.004

