SEISAN data: Reduced EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 04 08 16 11 35.80	618045 6326862	 30.6	0.60
EIK3D: 		2005 04 08 16 11 35.84	618000 6326500	 30.5	1.07

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	 -0.280		 -0.261		 19.940		 19.919
MUD	S	  1.280		  1.342		 38.030		 38.052
COP	P	  1.400		  1.412		 29.660		 29.633
COP	S	  0.040		  0.097		 46.560		 46.578
BSD	P	 -1.150		 -1.168		 43.220		 43.163
BSD	S	 -0.820		 -0.812		 77.120		 77.088
HFS	P	  0.270		  0.208		 52.010		 51.909
HFS	S	  0.990		  0.913		 91.020		 90.904
KONO	P	 -1.500		 -1.549		 38.650		 38.562
KONO	S	  1.200		  1.145		 74.450		 74.355
SNART	S	 -1.420		 -1.428		 61.850		 61.803

