SEISAN data: Reduced EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2005 02 03 15 49 49.50	659892 6240687	 0.0	1.00
EIK3D: 		2005 02 03 15 49 49.54	660500 6241000	 0.0	1.91

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	 -0.090		 -0.214		 24.410		 24.245
MUD	S	  2.290		  2.114		 47.130		 46.912
COP	P	 -0.280		 -0.314		 13.450		 13.374
COP	S	  1.730		  1.712		 27.710		 27.650
BSD	P	 -2.690		 -2.681		 32.790		 32.758
BSD	S	  0.440		  0.499		 66.930		 66.947
HFS	Pn	 -0.380		 -0.354		 62.300		 62.284
HFS	Sn	  2.370		  2.466		113.850		113.904
SNART	P	 -3.370		 -3.414		 44.170		 44.084

